"X","Y","gr1","gr2","gr3","gr4"
347075,8554025,0.00177446840411341,0.00804154212812663,0.000147977342447266,0.990036012125313
347125,8554025,1.55387018309935e-05,0.000307278551329176,4.41582117913813e-07,0.999676741164722
347175,8554025,0.00104719858553592,0.138361482056386,4.85066671156676e-05,0.860542812690962
347225,8554025,0.000372525196938689,0.119225107750327,1.21382198062483e-05,0.880390228832928
347275,8554025,0.00255361676321321,0.0144257314284984,8.78673356720837e-05,0.982932784472616
347325,8554025,0.000581548889209604,0.395421942923019,4.0892709572671e-05,0.603955615478198
347375,8554025,0.0016437152194744,0.105135299284902,9.3377777013805e-05,0.89312760771861
347425,8554025,0.00941359417915915,0.708086446093304,0.00190359234429029,0.280596367383246
347475,8554025,0.0107074415038691,0.158209194910556,0.00814865129050583,0.822934712295071
347525,8554025,0.0109317460611474,0.122769899950528,0.00902977225554072,0.857268581732787
347575,8554025,0.0117308238589728,0.113868052674533,0.00972745387873797,0.864673669587757
347625,8554025,0.01359922037844,0.119399673373123,0.0105860664429529,0.856415039805486
347675,8554025,0.0184369877240712,0.13485221417687,0.0118882205030637,0.834822577595997
347725,8554025,0.0416544374597475,0.166110875269364,0.0140294770145977,0.778205210256292
347775,8554025,0.525017060824077,0.182420497699988,0.00434983520684306,0.288212606269092
347825,8554025,0.0245251905907591,0.666504190850416,0.170925383470767,0.138045235088058
347875,8554025,0.0295951427415129,0.31963928373617,0.000248669941492711,0.650516903580824
347925,8554025,0.000329578032454798,0.0517044353286946,2.65343092069067e-05,0.947939452329644
347975,8554025,0.00165612421624691,0.365245126997164,4.29698010428465e-05,0.633055778985546
347025,8554075,0.000558932200640413,0.167827468932764,3.13469550490083e-05,0.831582251911547
347075,8554075,0.000614598601747867,0.0366117863658073,3.10307696477971e-05,0.962742584262797
347125,8554075,0.000657560227948683,0.00619795875039513,4.44515499320796e-05,0.993100029471724
347175,8554075,0.00998942316991384,0.0328530700105902,0.00364958200932576,0.95350792481017
347225,8554075,7.67178269900179e-05,0.00349152985465591,1.70226010816657e-06,0.996430050058246
347275,8554075,4.37780373315881e-05,0.000853486713527092,5.4505126354121e-06,0.999097284736506
347325,8554075,0.0001920634157191,0.00382924833161434,1.04698163334812e-05,0.995968218436333
347375,8554075,0.00721285739880743,0.00757344720799758,0.000176686634844197,0.985037008758351
347425,8554075,0.000834182265504215,0.0242303676686246,2.20610634460718e-05,0.974913389002425
347475,8554075,0.000661554335367587,0.417691495524017,0.000173875444649806,0.581473074695966
347525,8554075,9.01481109648096e-05,0.0182181605414629,2.43910793899434e-05,0.981667300268182
347575,8554075,0.000118632780130918,0.0219635446869607,1.00606443401899e-05,0.977907761888568
347625,8554075,0.000633995766220693,0.00254296382364086,0.000105604424532349,0.996717435985606
347675,8554075,0.00177891837689695,0.0133283072757964,0.000104251267574578,0.984788523079732
347725,8554075,0.000623213215656441,0.263137253486426,2.81127130607898e-05,0.736211420584857
347775,8554075,0.000432512364135959,0.266162400871456,1.66363887254771e-05,0.733388450375682
347825,8554075,0.000924807666420658,0.370714577373546,1.95820791442812e-05,0.628341032880889
347875,8554075,0.00125211921284683,0.263623168673028,8.16808321720061e-05,0.735043031281953
347925,8554075,0.0235463591373144,0.563230143975648,0.161531005276622,0.251692491610416
347975,8554075,0.711067896478387,0.168259007621859,0.0741771131896409,0.0464959827101128
347025,8554125,0.0177247283631417,0.104668412646224,0.00906580321010907,0.868541055780527
347075,8554125,0.0271645799004904,0.124226657030224,0.008535000715565,0.840073762353724
347125,8554125,0.169814551432121,0.449352006508779,0.00343383818705294,0.377399603872046
347175,8554125,0.0121054348804445,0.0943503518705507,0.000187920891086844,0.893356292357918
347225,8554125,0.000617051837827511,0.232187348126967,5.75612969253731e-05,0.76713803873828
347275,8554125,7.72972632198408e-05,0.00103560871113257,3.46109474832027e-06,0.998883632930899
347325,8554125,0.000338542188987256,0.0021632682331398,2.93945140473533e-05,0.997468795063826
347375,8554125,0.000782773807800261,0.28465699144507,0.000132102270647344,0.714428132476482
347425,8554125,8.16867483160822e-05,0.00126994684393086,9.77447021856642e-05,0.998550621705567
347475,8554125,0.000447008802115613,0.229295748347415,4.20552618056616e-05,0.770215187588663
347525,8554125,0.00163030950014977,0.013647407326615,0.000247901417268734,0.984474381755967
347575,8554125,7.02140481631363e-05,0.0024647117654355,8.00802961451915e-06,0.997457066156787
347625,8554125,0.00156138581844365,0.160603604272963,0.000556511760722163,0.837278498147871
347675,8554125,3.16189507502841e-05,0.00174386328115279,1.34007439744115e-06,0.9982231776937
347725,8554125,0.000584946376219459,0.498454081841642,4.96091686367793e-05,0.500911362613502
347775,8554125,0.00783567989964221,0.346510675994336,0.0824207731663824,0.563232870939639
347825,8554125,0.00172993784933872,0.274993462670906,3.94939529170368e-05,0.723237105526838
347875,8554125,0.000792037975494925,0.268639293149611,7.35226513600474e-05,0.730495146223534
347925,8554125,0.00387619701385963,0.165159328673947,4.82463350071076e-05,0.830916227977186
347975,8554125,0.00154455823830681,0.0830666958072422,3.77446272022853e-05,0.915351001327249
347375,8554175,0.0127235349956174,0.135325486692998,0.0101810310459446,0.841769947265442
347425,8554175,0.0129002026381659,0.135391603225818,0.0105591504196503,0.841149043716366
347475,8554175,0.0137137511773709,0.14777696988845,0.0110129519752535,0.827496326958928
347525,8554175,0.0160103050203573,0.14900414659012,0.0114625079186874,0.823523040470839
347575,8554175,0.0258918118016159,0.19809718096946,0.0113178129240598,0.764693194304868
347625,8554175,0.161980780480661,0.816858818598067,0.000377926004125603,0.0207824749171464
347675,8554175,0.00158016317203516,0.448716779330123,2.50210698393466e-05,0.549678036428003
347725,8554175,0.0012793597459169,0.479123417188808,0.000108875181754958,0.51948834788352
347775,8554175,0.0228701265826973,0.394161580688555,0.0315535964023005,0.551414696326447
347825,8554175,0.00289394371680644,0.212712735419536,0.000126822775362845,0.784266498088295
347875,8554175,0.00107069673959573,0.216496039058868,8.75753294054592e-05,0.78234568887213
347925,8554175,0.00126524748510477,0.408160676497012,0.000129920041679063,0.590444155976204
347975,8554175,0.000356328775663001,0.240576885992061,2.00657801868535e-05,0.759046719452089
347875,8554225,0.0205406544422967,0.224503410986938,0.0205436285463471,0.734412306024416
347925,8554225,0.0216625318224692,0.228826279313768,0.0216343084237302,0.727876880440036
