"X","Y","median","q99","nobs"
343575,8553575,14.55,20.41,23049
343575,8553625,15.25,23.2602,25000
343575,8553675,14.66,23.25,25000
343575,8553725,16.22,22.79,25000
343575,8553775,17.75,25.4601,25000
343625,8553575,15.55,19.12,23589
343625,8553625,14.17,18.87,25000
343625,8553675,14.11,20.22,25000
343625,8553725,14.66,20.49,25000
343625,8553775,14.51,21.12,25000
343675,8553575,14.46,19.481,22991
343675,8553625,13.41,22.94,25000
343675,8553675,15.97,21.09,25000
343675,8553725,14.23,20.5,25000
343675,8553775,14.19,21.1801,25000
343725,8553575,16.16,22.87,25000
343725,8553625,13.36,19.43,25000
343725,8553675,14.21,19.8601,25000
343725,8553725,14.78,20.69,25000
343725,8553775,15.815,23.19,25000
343775,8553575,15.46,19.87,25000
343775,8553625,12.64,19.26,25000
343775,8553675,14.99,22.9901,25000
343775,8553725,15.48,20.35,25000
343775,8553775,13.21,20.08,25000
343825,8553575,14.3,19.9801,25000
343825,8553625,15.78,24.14,25000
343825,8553675,16.38,20.3,25000
343825,8553725,14.81,19.5601,25000
343825,8553775,13.82,21.44,25000
343875,8553575,15.11,25.6963,22638
343875,8553625,13.98,20.45,25000
343875,8553675,15.29,20.8701,25000
343875,8553725,14.33,22.27,25000
343875,8553775,14.97,24.26,25000
343925,8553575,14.67,22.07,25000
343925,8553625,14.59,26.9401,25000
343925,8553675,14.59,23.14,25000
343925,8553725,15.36,22.51,25000
343925,8553775,17.05,25.09,25000
343975,8553575,14.42,21.42,25000
343975,8553625,14.79,26.1501,25000
343975,8553675,13.17,21.6101,25000
343975,8553725,14.88,22.77,25000
343975,8553775,14.15,20.04,25000
343975,8553825,14.58,20.03,20992
344025,8553575,15.03,19.9401,25000
344025,8553625,14.35,21.46,25000
344025,8553675,15.2,21.76,25000
344025,8553725,15.98,22.49,25000
344025,8553775,13.26,19.27,25000
344025,8553825,14.115,19.97,25000
344075,8553575,13.955,18.82,25000
344075,8553625,14.28,20.7201,25000
344075,8553675,15.08,22.12,25000
344075,8553725,17.87,22.75,25000
344075,8553775,13.19,20.6701,25000
344075,8553825,15.2,20.68,25000
344125,8553575,14.64,24.55,25000
344125,8553625,14.185,20.02,25000
344125,8553675,14.76,20.8,25000
344125,8553725,16.19,20.86,25000
344125,8553775,14.49,20.26,25000
344125,8553825,14.79,19.36,25000
344175,8553575,14.39,20.14,25000
344175,8553625,15.54,25.43,25000
344175,8553675,13.27,23.65,25000
344175,8553725,15.55,22.55,25000
344175,8553775,15.4,22.22,25000
344175,8553825,12.88,19.13,25000
344225,8553575,15.77,24.46,25000
344225,8553625,15.87,21.6102,25000
344225,8553675,15.14,24.87,25000
344225,8553725,14.51,22.49,25000
344225,8553775,16,22.19,25000
344225,8553825,15.58,21.4,25000
344275,8553575,17.82,21.75,25000
344275,8553625,15.08,20.98,25000
344275,8553675,15.31,20.93,25000
344275,8553725,14.1,20.7101,25000
344275,8553775,15.25,21.8,25000
344275,8553825,15.25,23.05,25000
344325,8553575,13.77,19.15,25000
344325,8553625,16.58,23.48,25000
344325,8553675,14.52,21.4301,25000
344325,8553725,15.99,21.19,25000
344325,8553775,17.02,23.02,25000
344325,8553825,15.17,23.28,25000
344375,8553575,12.78,18.15,25000
344375,8553625,12.77,19.2802,25000
344375,8553675,14.23,21.15,25000
344375,8553725,14.9,20.4601,25000
344375,8553775,15.37,20.2,25000
344375,8553825,15.11,24.12,25000
344425,8553575,12.41,21.09,25000
344425,8553625,13.78,20.32,25000
344425,8553675,14.02,20.61,25000
344425,8553725,16.6,22.5801,25000
344425,8553775,15.9,21.45,25000
344425,8553825,14.7,20.57,25000
344425,8553875,13.33,20.1401,25000
344475,8553575,15.975,21.47,25000
344475,8553625,15.79,23.15,25000
344475,8553675,16.63,23.86,25000
344475,8553725,14.99,25.9703,25000
344475,8553775,13.34,20.4,25000
344475,8553825,14.635,22.56,25000
344475,8553875,13.08,18.6,25000
344525,8553575,16.64,20.51,25000
344525,8553625,16.35,22.84,25000
344525,8553675,17.02,22.91,25000
344525,8553725,14.52,19.3,25000
344525,8553775,13.14,19.88,25000
344525,8553825,14.64,21.0601,25000
344525,8553875,13.84,19.47,25000
344575,8553575,14.91,20.54,25000
344575,8553625,15.59,20.44,25000
344575,8553675,15.86,22.95,25000
344575,8553725,15.7,22.0101,25000
344575,8553775,14.79,21.81,25000
344575,8553825,14.64,22.88,25000
344575,8553875,15.5,20.01,25000
344625,8553575,14.31,20.67,25000
344625,8553625,16.21,23.86,25000
344625,8553675,14.88,24.3702,25000
344625,8553725,16.11,21.5802,25000
344625,8553775,15.49,21.15,25000
344625,8553825,16.25,26.6,25000
344625,8553875,16.44,24.23,25000
344675,8553575,17.17,20.56,25000
344675,8553625,16.8,22.8901,25000
344675,8553675,15.94,22.01,25000
344675,8553725,14.68,22.7901,25000
344675,8553775,16.04,21.7101,25000
344675,8553825,16.11,30.44,25000
344675,8553875,15.85,20.43,25000
344725,8553575,14.62,22.1601,25000
344725,8553625,15.15,19.6601,25000
344725,8553675,14.26,19.69,25000
344725,8553725,16.15,21.2301,25000
344725,8553775,15.58,21.51,25000
344725,8553825,15.68,24.73,25000
344725,8553875,14.97,22.15,25000
344775,8553575,16.25,21.3901,25000
344775,8553625,15.7,23.07,25000
344775,8553675,14.78,25.4801,25000
344775,8553725,15.45,23.85,25000
344775,8553775,15.21,24.93,25000
344775,8553825,14.11,23.21,25000
344775,8553875,14.95,22.28,25000
344825,8553575,14.86,21.51,25000
344825,8553625,14.14,19.91,25000
344825,8553675,15.03,18.9601,25000
344825,8553725,15.005,21.8301,25000
344825,8553775,14.97,20.7,25000
344825,8553825,13.15,19.77,25000
344825,8553875,15.09,20.3202,25000
344875,8553575,14.85,20.353,24271
344875,8553625,15.7,21.78,25000
344875,8553675,14.89,22.74,25000
344875,8553725,16.56,23.08,25000
344875,8553775,14.15,20.48,25000
344875,8553825,15.52,21.12,25000
344875,8553875,15.68,22.52,25000
344925,8553575,16.02,20.6578,21323
344925,8553625,14.59,19.9401,25000
344925,8553675,15.85,21.86,25000
344925,8553725,16.48,24.83,25000
344925,8553775,14.74,21.5,25000
344925,8553825,14.85,24.2201,25000
344925,8553875,16.72,24.78,25000
344925,8553925,18.06,26.69,25000
344975,8553575,14.36,20.11,22607
344975,8553625,13.77,19.7501,25000
344975,8553675,14.62,20.34,25000
344975,8553725,14.53,21.49,25000
344975,8553775,15,23.35,25000
344975,8553825,15.52,22.5701,25000
344975,8553875,17.27,25.97,25000
344975,8553925,15.2,23.16,25000
345025,8553575,15.23,20.1801,25000
345025,8553625,14.55,22.24,25000
345025,8553675,13.86,23.1801,25000
345025,8553725,13.375,22.4,25000
345025,8553775,14.38,20.27,25000
345025,8553825,15.51,22.6001,25000
345025,8553875,15.89,26.1601,25000
345025,8553925,14.85,22.16,25000
345075,8553575,16,20.81,25000
345075,8553625,14.24,21.3901,25000
345075,8553675,14.13,19.8802,25000
345075,8553725,16.33,22.01,25000
345075,8553775,16.61,21.8001,25000
345075,8553825,14.865,19.03,25000
345075,8553875,15.56,20.8701,25000
345075,8553925,17.3,26.04,25000
345125,8553575,15.16,22.3869,17278
345125,8553625,14.58,21.67,25000
345125,8553675,14.64,21.9601999999999,25000
345125,8553725,15.42,20.89,25000
345125,8553775,17.41,22.47,25000
345125,8553825,16.41,20.76,25000
345125,8553875,16.07,23.04,25000
345125,8553925,15.53,20.96,25000
345175,8553575,17.12,24.97,23578
345175,8553625,17.91,23.78,25000
345175,8553675,15.14,22.7,25000
345175,8553725,15.46,21.2,25000
345175,8553775,15.6,24.2,25000
345175,8553825,15.51,22.4902,25000
345175,8553875,15.86,21.37,25000
345175,8553925,15.83,21.9101,25000
345225,8553575,15.13,21.83,25000
345225,8553625,16.465,24.59,25000
345225,8553675,15.39,22.05,25000
345225,8553725,15.67,24.03,25000
345225,8553775,15.96,21.79,25000
345225,8553825,15.38,22.8801,25000
345225,8553875,16.46,22.6201,25000
345225,8553925,16.87,22.7201,25000
345275,8553575,15.17,19.4,20741
345275,8553625,16.26,22.39,25000
345275,8553675,15.77,23.78,25000
345275,8553725,16.26,23.1701,25000
345275,8553775,18.18,29.25,25000
345275,8553825,18.26,26.7,25000
345275,8553875,17.88,22.8,25000
345275,8553925,16.84,22.21,25000
345325,8553575,14.19,23.7101,25000
345325,8553625,14.48,22.86,25000
345325,8553675,15.64,22.67,25000
345325,8553725,15.87,23.08,25000
345325,8553775,16.37,24.16,25000
345325,8553825,15.07,22.65,25000
345325,8553875,16.03,22.2201,25000
345325,8553925,18.01,24.66,25000
345375,8553575,13.81,21.2495,22706
345375,8553625,17.64,24.07,25000
345375,8553675,16.52,22.41,25000
345375,8553725,16.22,25.12,25000
345375,8553775,17.15,22.7301,25000
345375,8553825,14.93,23.56,25000
345375,8553875,16.04,22.9901,25000
345375,8553925,17.62,22.5101,25000
345425,8553575,16.26,22.3,25000
345425,8553625,14.88,20.7901,25000
345425,8553675,16.14,21.4,25000
345425,8553725,16.31,22.09,25000
345425,8553775,15.93,22.33,25000
345425,8553825,15.99,26.23,25000
345425,8553875,16.34,21.42,25000
345425,8553925,16.5,22.87,25000
345425,8553975,15.32,23.3601,25000
345475,8553575,15.21,29.41,25000
345475,8553625,16.45,26.57,25000
345475,8553675,15.7,24.84,25000
345475,8553725,15.55,23.5601,25000
345475,8553775,14.53,21.17,25000
345475,8553825,16.78,22.2501,25000
345475,8553875,16.9,22.6001,25000
345475,8553925,17.62,24.3201,25000
345475,8553975,16.4,22.5,25000
345525,8553575,17.45,23.48,23422
345525,8553625,15.41,20.56,25000
345525,8553675,13.76,19.78,25000
345525,8553725,13.73,19.39,25000
345525,8553775,14.71,19.75,25000
345525,8553825,17.56,24.48,25000
345525,8553875,16.04,23.3001,25000
345525,8553925,16.2,21.9001,25000
345525,8553975,14.23,19.79,25000
345575,8553575,15.92,21.9201,25000
345575,8553625,16,22.09,25000
345575,8553675,17.17,23.19,25000
345575,8553725,16.81,21.19,25000
345575,8553775,14.8,21.7601,25000
345575,8553825,16.92,23.3201,25000
345575,8553875,14.54,21.32,25000
345575,8553925,16.46,23.02,25000
345575,8553975,18.43,22.41,25000
345625,8553575,13.975,21.85,25000
345625,8553625,14.58,21.91,25000
345625,8553675,14.5,21.08,25000
345625,8553725,14.81,22.18,25000
345625,8553775,14.07,21.9,25000
345625,8553825,13.42,19.18,25000
345625,8553875,15.62,22.4901,25000
345625,8553925,17.1,22.25,25000
345625,8553975,16.79,23.3001,25000
345675,8553575,17.51,22.2,25000
345675,8553625,16.14,21.04,25000
345675,8553675,15.23,20.47,25000
345675,8553725,15.31,21.5101,25000
345675,8553775,14.92,20.68,25000
345675,8553825,16.06,22.09,25000
345675,8553875,15.93,21.27,25000
345675,8553925,16.56,22.33,25000
345675,8553975,19.07,22.93,25000
345725,8553575,16.35,19.7201,25000
345725,8553625,17.21,24.13,25000
345725,8553675,15.385,25.1701,25000
345725,8553725,15.31,19.9802,25000
345725,8553775,16.94,22.0001,25000
345725,8553825,18.63,21.8,25000
345725,8553875,18.42,22.8801,25000
345725,8553925,18.28,22.48,25000
345725,8553975,19.83,23.55,25000
345775,8553575,17.3,21.54,25000
345775,8553625,17.18,20.78,25000
345775,8553675,16.08,19.36,25000
345775,8553725,17.22,21.6801,25000
345775,8553775,17.43,20.94,25000
345775,8553825,18.6,21.73,25000
345775,8553875,19.51,23.95,25000
345775,8553925,20.19,23.74,25000
345775,8553975,19.12,23.43,25000
345825,8553575,16.84,19.58,25000
345825,8553625,17.42,20.9601,25000
345825,8553675,17.59,20.91,25000
345825,8553725,17.29,20.9701,25000
345825,8553775,17.75,21.84,25000
345825,8553825,17.96,21.13,25000
345825,8553875,17.43,22.52,25000
345825,8553925,15.45,24.5,25000
345825,8553975,15.32,21.38,25000
345875,8553575,17.22,20.35,25000
345875,8553625,17.55,21.4701,25000
345875,8553675,17.89,21.4501,25000
345875,8553725,16.57,20.52,25000
345875,8553775,16.85,20.11,25000
345875,8553825,16.48,21.04,25000
345875,8553875,12.43,23.41,25000
345875,8553925,6.86000000000001,18.47,25000
345875,8553975,12.125,21.33,25000
345925,8553575,16.76,21.55,25000
345925,8553625,16.92,21.57,25000
345925,8553675,18.35,22.38,25000
345925,8553725,16.17,21.11,25000
345925,8553775,13.84,19.83,25000
345925,8553825,16.26,21.54,25000
345925,8553875,16.48,28.38,25000
345925,8553925,12.36,25.03,25000
345925,8553975,11.14,18.38,25000
345925,8554025,13.95,21.2489,22712
345975,8553575,17.1,21.59,25000
345975,8553625,15.675,21.4502999999999,25000
345975,8553675,14.59,22.9901,25000
345975,8553725,14.78,21.5901,25000
345975,8553775,16.32,22.45,25000
345975,8553825,16.64,23.19,25000
345975,8553875,15.35,25.5902,25000
345975,8553925,12.51,24.77,25000
345975,8553975,13.66,20.38,25000
345975,8554025,9.59000000000003,17.83,25000
346025,8553575,12.19,17.2,25000
346025,8553625,14.15,22.49,25000
346025,8553675,15.56,22.78,25000
346025,8553725,15.71,23.2601,25000
346025,8553775,16.46,25.76,25000
346025,8553825,14.34,20.89,25000
346025,8553875,11.93,23.18,25000
346025,8553925,8.15000000000003,17.22,25000
346025,8553975,12.93,18.8901,25000
346025,8554025,10.75,15.73,25000
346075,8553575,8.19999999999999,13.9,25000
346075,8553625,8.13,16.7,25000
346075,8553675,13.74,22.58,25000
346075,8553725,13.13,21.34,25000
346075,8553775,13.76,20.81,25000
346075,8553825,14.33,21.44,25000
346075,8553875,12.11,16.5,25000
346075,8553925,12.96,20.5,25000
346075,8553975,13.73,19.67,25000
346075,8554025,12.75,17.6,25000
346125,8553575,9.17000000000002,13.07,25000
346125,8553625,8.63,15.66,25000
346125,8553675,11.71,16.93,25000
346125,8553725,12.67,20.0901,25000
346125,8553775,14.92,18.53,25000
346125,8553825,14.71,20.75,25000
346125,8553875,13.085,16.2001,25000
346125,8553925,14.04,17.91,25000
346125,8553975,13.71,18.23,25000
346125,8554025,12.43,18.16,25000
346175,8553575,9.76999999999998,16.0691,22610
346175,8553625,14.76,18.8501,25000
346175,8553675,10.43,17.1701,25000
346175,8553725,15.18,20.51,25000
346175,8553775,13.2,17.05,25000
346175,8553825,14.83,20.6401,25000
346175,8553875,13.22,18.4201,25000
346175,8553925,12.38,17.17,25000
346175,8553975,15.33,19.5,25000
346175,8554025,13.79,20.21,25000
346225,8553575,13.04,17.9,19042
346225,8553625,14.32,19.12,25000
346225,8553675,14.335,20.9902,25000
346225,8553725,13.47,19.8101,25000
346225,8553775,14.15,20.4,25000
346225,8553825,12.59,16.41,25000
346225,8553875,12.51,16.25,25000
346225,8553925,12.6,17.7001,25000
346225,8553975,14.8,19.1,25000
346225,8554025,15.05,23.47,25000
346275,8553575,14.72,20.28,24138
346275,8553625,11.75,19.27,25000
346275,8553675,13.14,19.53,25000
346275,8553725,15.87,21.21,25000
346275,8553775,13.16,18.9201,25000
346275,8553825,10.79,16.05,25000
346275,8553875,10.49,15.01,25000
346275,8553925,13.2,17.56,25000
346275,8553975,13.91,18.16,25000
346275,8554025,14.71,20.17,25000
346325,8553575,12.41,15.9882,20219
346325,8553625,11.99,20.6801,25000
346325,8553675,14.4,19.05,25000
346325,8553725,14.63,18.74,25000
346325,8553775,9.48000000000002,16.09,25000
346325,8553825,4.82999999999998,11.3101,25000
346325,8553875,6.99000000000001,11.88,25000
346325,8553925,10.73,15.4201,25000
346325,8553975,11.16,16.5701,25000
346325,8554025,14.26,19.5003,25000
346375,8553575,12.23,20.13,23032
346375,8553625,17.06,21.06,25000
346375,8553675,15.05,20.4201,25000
346375,8553725,12.86,18.24,25000
346375,8553775,2.81,12.39,25000
346375,8553825,2.18000000000001,8.58009999999997,25000
346375,8553875,4.16500000000002,12.0701,25000
346375,8553925,5.90000000000003,17.8501,25000
346375,8553975,14.66,20.34,25000
346375,8554025,16.85,22.4101,25000
346375,8554075,19.09,25.67,22050
346425,8553575,14.52,19.68,21477
346425,8553625,16.49,20.5101,25000
346425,8553675,15.34,19.61,25000
346425,8553725,13.28,19.76,25000
346425,8553775,6.70999999999998,17.74,25000
346425,8553825,1.10000000000002,13.9701,25000
346425,8553875,13.43,22.3701,25000
346425,8553925,14.37,20.1201,25000
346425,8553975,15.41,21.72,25000
346425,8554025,16.54,22.91,25000
346425,8554075,18.5,23.15,22842
346475,8553575,15.51,22.09,25000
346475,8553625,17.47,21.92,25000
346475,8553675,14.84,19.89,25000
346475,8553725,13.9,17.91,25000
346475,8553775,14.46,20.3,25000
346475,8553825,15.62,22.09,25000
346475,8553875,17.63,22.12,25000
346475,8553925,16.3,23.22,25000
346475,8553975,16.4,21.67,25000
346475,8554025,15.865,21.26,25000
346475,8554075,15.95,21.09,25000
346525,8553575,18.11,22.04,16228
346525,8553625,17.1,20.66,25000
346525,8553675,14.21,20.26,25000
346525,8553725,14.12,23.87,25000
346525,8553775,16.08,21.5,25000
346525,8553825,17.25,21.83,25000
346525,8553875,16.08,23.61,25000
346525,8553925,14.3,19.2801,25000
346525,8553975,14.52,24.8902,25000
346525,8554025,15.26,20.66,25000
346525,8554075,14.97,19.08,25000
346575,8553575,17.68,21.99,25000
346575,8553625,17.21,21.04,25000
346575,8553675,17.42,23.11,25000
346575,8553725,16.99,21.97,25000
346575,8553775,17.73,22.3301,25000
346575,8553825,14.89,19.57,25000
346575,8553875,16.29,22.2801,25000
346575,8553925,15.12,19.42,25000
346575,8553975,14.72,23.4502,25000
346575,8554025,14.89,23.72,25000
346575,8554075,14.48,20.54,25000
346625,8553575,16.92,22.22,25000
346625,8553625,16.95,20.98,25000
346625,8553675,17.59,21.5401,25000
346625,8553725,16.34,23.31,25000
346625,8553775,15.33,18.89,25000
346625,8553825,16.04,20.16,25000
346625,8553875,16.79,21.43,25000
346625,8553925,16.87,22.8,25000
346625,8553975,16.35,24.55,25000
346625,8554025,17.6,22.49,25000
346625,8554075,16.81,21.7,25000
346675,8553575,15.45,19.32,24386
346675,8553625,14.94,20.04,25000
346675,8553675,14.76,22.6202,25000
346675,8553725,15.6,20.58,25000
346675,8553775,16.4,23.7001,25000
346675,8553825,17.01,21.5,25000
346675,8553875,16.24,24.26,25000
346675,8553925,16.43,21.05,25000
346675,8553975,17.83,23.82,25000
346675,8554025,16.16,22.81,25000
346675,8554075,16.61,21.41,25000
346725,8553575,15.23,19.82,23226
346725,8553625,15.18,19.7701,25000
346725,8553675,16.24,23.3001,25000
346725,8553725,15.97,21.1101,25000
346725,8553775,14.72,20.0702,25000
346725,8553825,16.44,25.3002,25000
346725,8553875,15.44,25.13,25000
346725,8553925,18.04,24.35,25000
346725,8553975,16.06,20.52,25000
346725,8554025,16.71,21.13,25000
346725,8554075,16.86,26.5,25000
346775,8553575,15.23,20.9649,23052
346775,8553625,15.82,20.1902,25000
346775,8553675,15.39,21.91,25000
