"X","Y","fire.treat","edge"
349925,8553375,"3x","interior"
349975,8553375,"3x","interior"
349725,8553425,"3x","interior"
349775,8553425,"3x","interior"
349825,8553425,"3x","interior"
349875,8553425,"3x","interior"
349925,8553425,"3x","interior"
349975,8553425,"3x","interior"
349725,8553475,"3x","interior"
349775,8553475,"3x","interior"
349825,8553475,"3x","interior"
349875,8553475,"3x","interior"
349925,8553475,"3x","interior"
349975,8553475,"3x","interior"
349725,8553525,"3x","interior"
349775,8553525,"3x","interior"
349825,8553525,"3x","interior"
349875,8553525,"3x","interior"
349925,8553525,"3x","interior"
349975,8553525,"3x","interior"
349725,8553575,"3x","interior"
349775,8553575,"3x","interior"
349825,8553575,"3x","interior"
349875,8553575,"3x","interior"
349925,8553575,"3x","interior"
349975,8553575,"3x","interior"
349725,8553625,"3x","interior"
349775,8553625,"3x","interior"
349825,8553625,"3x","interior"
349875,8553625,"3x","interior"
349925,8553625,"3x","interior"
349975,8553625,"3x","interior"
349725,8553675,"3x","interior"
349775,8553675,"3x","interior"
349825,8553675,"3x","interior"
349875,8553675,"3x","interior"
349925,8553675,"3x","interior"
349975,8553675,"3x","interior"
349725,8553725,"3x","edge"
349775,8553725,"3x","edge"
349825,8553725,"3x","edge"
349875,8553725,"3x","edge"
349925,8553725,"3x","edge"
349975,8553725,"3x","edge"
349725,8553775,"3x","edge"
349775,8553775,"3x","edge"
349825,8553775,"3x","edge"
349875,8553775,"3x","edge"
349925,8553775,"3x","edge"
349975,8553775,"3x","edge"
349725,8553825,"3x","edge"
349775,8553825,"3x","edge"
349825,8553825,"3x","edge"
349875,8553825,"3x","edge"
349925,8553825,"3x","edge"
349975,8553825,"3x","edge"
349725,8553875,"3x","edge"
349775,8553875,"3x","edge"
349825,8553875,"3x","edge"
349875,8553875,"3x","edge"
349925,8553875,"3x","edge"
349975,8553875,"3x","edge"
349725,8553925,"3x","edge"
349775,8553925,"3x","edge"
349825,8553925,"3x","edge"
349875,8553925,"3x","edge"
349925,8553925,"3x","edge"
349975,8553925,"3x","edge"
349725,8553975,"3x","edge"
349775,8553975,"3x","edge"
349825,8553975,"3x","edge"
349875,8553975,"3x","edge"
349925,8553975,"3x","edge"
349975,8553975,"3x","edge"
349725,8554025,"3x","edge"
349775,8554025,"3x","edge"
349825,8554025,"3x","edge"
349875,8554025,"3x","edge"
349925,8554025,"3x","edge"
349975,8554025,"3x","edge"
349725,8554075,"3x","edge"
349775,8554075,"3x","edge"
349825,8554075,"3x","edge"
349875,8554075,"3x","edge"
349925,8554075,"3x","edge"
349975,8554075,"3x","edge"
349725,8554125,"3x","edge"
349775,8554125,"3x","edge"
349825,8554125,"3x","edge"
349875,8554125,"3x","edge"
349925,8554125,"3x","edge"
349975,8554125,"3x","edge"
349725,8554175,"3x","edge"
349775,8554175,"3x","edge"
349825,8554175,"3x","edge"
349875,8554175,"3x","edge"
349925,8554175,"3x","edge"
349975,8554175,"3x","edge"
350025,8553225,"3x","interior"
350075,8553225,"3x","interior"
350125,8553225,"3x","interior"
350175,8553225,"3x","interior"
350025,8553275,"3x","interior"
350075,8553275,"3x","interior"
350125,8553275,"3x","interior"
350175,8553275,"3x","interior"
350025,8553325,"3x","interior"
350075,8553325,"3x","interior"
350125,8553325,"3x","interior"
350175,8553325,"3x","interior"
350025,8553375,"3x","interior"
350075,8553375,"3x","interior"
350125,8553375,"3x","interior"
350175,8553375,"3x","interior"
350025,8553425,"3x","interior"
350075,8553425,"3x","interior"
350125,8553425,"3x","interior"
350175,8553425,"3x","interior"
350025,8553475,"3x","interior"
350075,8553475,"3x","interior"
350125,8553475,"3x","interior"
350175,8553475,"3x","interior"
350025,8553525,"3x","interior"
350075,8553525,"3x","interior"
350125,8553525,"3x","interior"
350175,8553525,"3x","interior"
350025,8553575,"3x","interior"
350075,8553575,"3x","interior"
350125,8553575,"3x","interior"
350175,8553575,"3x","interior"
350025,8553625,"3x","interior"
350075,8553625,"3x","interior"
350125,8553625,"3x","interior"
350175,8553625,"3x","interior"
350025,8553675,"3x","interior"
350075,8553675,"3x","interior"
350125,8553675,"3x","interior"
350175,8553675,"3x","interior"
350025,8553725,"3x","edge"
350075,8553725,"3x","edge"
350125,8553725,"3x","edge"
350175,8553725,"3x","edge"
350025,8553775,"3x","edge"
350075,8553775,"3x","edge"
350125,8553775,"3x","edge"
350175,8553775,"3x","edge"
350025,8553825,"3x","edge"
350075,8553825,"3x","edge"
350125,8553825,"3x","edge"
350175,8553825,"3x","edge"
350025,8553875,"3x","edge"
350075,8553875,"3x","edge"
350125,8553875,"3x","edge"
350175,8553875,"3x","edge"
350025,8553925,"3x","edge"
350075,8553925,"3x","edge"
350125,8553925,"3x","edge"
350175,8553925,"3x","edge"
350025,8553975,"3x","edge"
350075,8553975,"3x","edge"
350125,8553975,"3x","edge"
350175,8553975,"3x","edge"
350025,8554025,"3x","edge"
350075,8554025,"3x","edge"
350125,8554025,"3x","edge"
350175,8554025,"3x","edge"
350025,8554075,"3x","edge"
350075,8554075,"3x","edge"
350125,8554075,"3x","edge"
350175,8554075,"3x","edge"
350025,8554125,"3x","edge"
350075,8554125,"3x","edge"
350125,8554125,"3x","edge"
350175,8554125,"3x","edge"
350025,8554175,"3x","edge"
350075,8554175,"3x","edge"
350125,8554175,"3x","edge"
350175,8554175,"3x","edge"
349225,8553225,"6x","interior"
349275,8553225,"6x","interior"
349325,8553225,"6x","interior"
349375,8553225,"6x","interior"
349425,8553225,"6x","interior"
349475,8553225,"6x","interior"
349525,8553225,"6x","interior"
349575,8553225,"6x","interior"
349625,8553225,"6x","interior"
349675,8553225,"6x","interior"
349225,8553275,"6x","interior"
349275,8553275,"6x","interior"
349325,8553275,"6x","interior"
349375,8553275,"6x","interior"
349425,8553275,"6x","interior"
349475,8553275,"6x","interior"
349525,8553275,"6x","interior"
349575,8553275,"6x","interior"
349625,8553275,"6x","interior"
349675,8553275,"6x","interior"
349225,8553325,"6x","interior"
349275,8553325,"6x","interior"
349325,8553325,"6x","interior"
349375,8553325,"6x","interior"
349425,8553325,"6x","interior"
349475,8553325,"6x","interior"
349525,8553325,"6x","interior"
349575,8553325,"6x","interior"
349625,8553325,"6x","interior"
349675,8553325,"6x","interior"
349225,8553375,"6x","interior"
349275,8553375,"6x","interior"
349325,8553375,"6x","interior"
349375,8553375,"6x","interior"
349425,8553375,"6x","interior"
349475,8553375,"6x","interior"
349525,8553375,"6x","interior"
349575,8553375,"6x","interior"
349625,8553375,"6x","interior"
349675,8553375,"6x","interior"
349225,8553425,"6x","interior"
349275,8553425,"6x","interior"
349325,8553425,"6x","interior"
349375,8553425,"6x","interior"
349425,8553425,"6x","interior"
349475,8553425,"6x","interior"
349525,8553425,"6x","interior"
349575,8553425,"6x","interior"
349625,8553425,"6x","interior"
349675,8553425,"6x","interior"
349225,8553475,"6x","interior"
349275,8553475,"6x","interior"
349325,8553475,"6x","interior"
349375,8553475,"6x","interior"
349425,8553475,"6x","interior"
349475,8553475,"6x","interior"
349525,8553475,"6x","interior"
349575,8553475,"6x","interior"
349625,8553475,"6x","interior"
349675,8553475,"6x","interior"
349225,8553525,"6x","interior"
349275,8553525,"6x","interior"
349325,8553525,"6x","interior"
349375,8553525,"6x","interior"
349425,8553525,"6x","interior"
349475,8553525,"6x","interior"
349525,8553525,"6x","interior"
349575,8553525,"6x","interior"
349625,8553525,"6x","interior"
349675,8553525,"6x","interior"
349225,8553575,"6x","interior"
349275,8553575,"6x","interior"
349325,8553575,"6x","interior"
349375,8553575,"6x","interior"
349425,8553575,"6x","interior"
349475,8553575,"6x","interior"
349525,8553575,"6x","interior"
349575,8553575,"6x","interior"
349625,8553575,"6x","interior"
349675,8553575,"6x","interior"
