"fire.treat","edge","comm1","comm2","comm3","comm4"
"1x","edge",0.0337759694698399,0.441412244496618,0.0274453756001926,0.493967565509932
"3x","edge",0.487983943572706,0.430135045588288,0.00608384505985071,0.0670110880800783
"6x","edge",0.551711128652703,0.200063701417268,0.0142363950388481,0.215128650473656
"C","edge",0.11978782548817,0.411244932075592,0.0485175922263044,0.398001414932153
"1x","interior",0.0318896592818027,0.409044706856555,0.0196815283732805,0.533565139763778
"3x","interior",0.122614217455778,0.64708472088054,0.0101818492998293,0.202510908192302
"6x","interior",0.172856998187079,0.55890918063679,0.0116782072708549,0.246319770053496
"C","interior",0.134857698015724,0.285744261094088,0.0479454029338963,0.509037826885811
