"fire.treat","edge","comm1","comm2","comm3","comm4"
"1x","edge",0.0135551621031193,0.296195599835414,0.0962378289577642,0.594011409103703
"3x","edge",0.153020418798926,0.64345396679209,0.092110059015054,0.11141555539393
"6x","edge",0.203528792532085,0.45059157894246,0.0357563255417222,0.310123302983733
"C","edge",0.0232800908779456,0.408226032548905,0.0585759858063155,0.509917890766834
"1x","interior",0.00590854144310551,0.251343432799294,0.033229035635503,0.709518990122097
"3x","interior",0.0589390786913363,0.484938503832108,0.196475360407085,0.259647057069471
"6x","interior",0.0547530154948739,0.459566298700693,0.151806069191147,0.333874616613287
"C","interior",0.00945660131717461,0.317005977774585,0.030616298424378,0.642921122483862
