"V1","V2","V3","V4"
0.990547088487553,0.00860857156357907,0.000832040811194056,1.22991376738532e-05
0.991040187870442,0.00887497978821746,8.09278040385686e-05,3.90453730151307e-06
0.548851480761625,0.449842433404182,0.00117049634893576,0.000135589485256892
0.348874265422362,0.428921874174874,0.0120047842047838,0.21019907619798
0.765728593929164,0.233000900843926,0.00120952867503634,6.09765518734712e-05
0.951875338831401,0.0478332087490898,0.000281346462685159,1.01059568240507e-05
0.999387659957863,0.000543049835662842,6.64453788748498e-05,2.84482759972294e-06
0.992798785380039,0.00656203121152745,0.000624833551953399,1.43498564800959e-05
0.61453709101086,0.160230566319831,0.0308123437758847,0.194419998893425
0.778879837471328,0.220217770888537,0.000768725573603109,0.000133666066531419
0.683865060212121,0.314053596273241,0.00193414357043387,0.00014719994420467
0.998663398271638,0.00121900313469936,0.000115252827931061,2.34576573127692e-06
0.999071243253801,0.000694693308922968,0.000222715112493555,1.13483247824883e-05
0.997682740882135,0.00220434978727915,0.000110488216891305,2.42111369416784e-06
0.391912884423612,0.248190242728685,0.0406892078950479,0.319207664952655
0.995948412195522,0.00340229133559901,0.000109528931589241,0.000539767537289403
0.992174570762807,0.00704950602862931,0.000736751088295783,3.91721202676159e-05
0.322176588732206,0.271023315614093,0.406010785586169,0.000789310067531658
0.668427430380614,0.0476231976655948,0.283568523671339,0.000380848282451711
0.980168939258021,0.0194012062921855,0.000412679593550484,1.71748562433823e-05
0.614173776758583,0.381648600030519,0.00387147215109372,0.000306151059804617
0.701166845251645,0.0538446266719017,0.0418984986597677,0.203090029416685
0.707118114117838,0.292118784668617,0.000726288642342205,3.68125712029976e-05
0.716177850960753,0.282122348714905,0.00161738112096147,8.24192033808119e-05
0.998776010935816,0.000971567684438896,0.000235326909723287,1.70944700217147e-05
0.98760989378806,0.0120551615398975,0.000251460840059731,8.34838319827181e-05
0.851340215915874,0.147436814986398,0.0011539055924232,6.90635053046434e-05
0.982722602516726,0.0167035429113902,0.000381998481062019,0.000191856090821296
0.834809970356573,0.13167358048387,0.0332591116311673,0.000257337528388917
0.999546818611699,0.000359867598051927,8.91890022918372e-05,4.12478795729309e-06
0.985780940214514,0.0135922226121403,0.000579918323540386,4.69188498049041e-05
0.998990781806274,0.000916424904081686,8.21712885873087e-05,1.06220010570703e-05
0.933986957583944,0.065042460535043,0.000670854756985107,0.000299727124028293
0.773154955555077,0.226490614847172,0.000339237606089868,1.51919916617529e-05
0.994037788504378,0.00566169498539887,0.000263272343367853,3.7244166855801e-05
0.61830281276709,0.189964785531049,0.0237205407231967,0.168011860978665
0.811617262773102,0.019127921353874,0.0247031914608321,0.144551624412192
0.345449296813298,0.0191596566075593,0.236536479457835,0.398854567121307
0.98280753310115,0.0170365407823349,0.000152191525072367,3.73459144240901e-06
0.842404560629231,0.156896971352037,0.000623281265376084,7.51867533552788e-05
0.999123583274163,0.000791792346105562,8.07263423003284e-05,3.89803743151667e-06
0.659152924751894,0.339716315404142,0.0010776182207626,5.31416232011083e-05
0.999305332375091,0.00064973596536819,4.24245609070126e-05,2.50709863399722e-06
0.668204995219918,0.331203321690329,0.000577444215185127,1.42388745674384e-05
0.358645331705866,0.472788654776798,0.0130484632990357,0.1555175502183
0.999009846154811,0.000952445752376789,3.5216163878707e-05,2.49192893366637e-06
0.958421365698185,0.0411582113044822,0.000405592046118699,1.48309512136089e-05
0.77218015908047,0.22732022596483,0.000444209993448234,5.54049612522828e-05
0.996886626972576,0.00302221049872225,8.24528083549453e-05,8.70972034631964e-06
0.698584858031448,0.267706866918434,0.00869884286169488,0.0250094321884235
0.990181927381323,0.00662958569382243,0.00315383699045272,3.46499344014266e-05
0.999449552134423,0.000532850441369136,1.51536739971837e-05,2.44375021073061e-06
0.64783795312394,0.351515479207427,0.000630324156999804,1.62435116333442e-05
0.960429866811391,0.0338821832596805,0.00552577938927912,0.000162170539648964
0.999046753739117,0.000932074133941691,1.96900192636023e-05,1.48210767784958e-06
0.93477546845041,0.0645956819917343,0.000605775877065065,2.30736807910011e-05
0.875740108984107,0.122823008356596,0.00136559940856679,7.12832507300278e-05
