"X","Y","z1.5","z2.5","z3.5","z4.5","z5.5","z6.5","z7.5","z8.5","z9.5","z10.5","z11.5","z12.5","z13.5","z14.5","z15.5","z16.5","z17.5","z18.5","z19.5","z20.5","z21.5","z22.5","z23.5","z24.5","z25.5","z26.5","z27.5","z28.5","z29.5","z30.5","z31.5","z32.5","z33.5","z34.5","z35.5"
343975,8553575,23,9,7,12,8,15,13,16,20,25,16,14,17,13,7,6,8,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344025,8553575,46,15,5,10,9,6,17,15,17,19,21,13,20,24,22,7,4,9,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
344075,8553575,68,30,23,20,21,16,6,15,14,17,9,15,11,14,11,5,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344125,8553575,75,13,10,27,23,27,26,26,21,11,14,12,10,17,7,4,3,5,3,2,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0
344175,8553575,59,16,10,11,11,11,15,16,18,14,16,11,15,13,9,9,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344225,8553575,48,14,9,6,10,13,15,15,13,18,13,20,20,17,13,20,7,2,5,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
344275,8553575,22,7,6,8,11,14,18,10,10,16,6,9,9,14,13,19,13,12,8,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344325,8553575,49,6,2,12,19,16,23,22,19,6,12,12,21,12,11,11,8,6,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344375,8553575,24,15,10,17,17,21,19,20,14,18,30,15,24,9,8,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344425,8553575,49,17,10,14,24,17,22,12,14,12,17,16,14,7,12,8,8,1,4,6,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0
344475,8553575,79,23,19,16,8,14,18,19,12,16,14,12,18,9,17,10,8,5,8,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
344525,8553575,19,6,6,11,10,11,11,14,11,14,6,8,15,12,20,14,17,5,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343575,8553625,22,10,10,10,20,15,17,17,11,12,12,16,17,18,17,8,12,6,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
343625,8553625,12,6,6,15,14,18,13,10,15,17,22,27,21,10,16,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343675,8553625,12,14,14,25,22,22,21,19,16,14,26,20,14,13,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343725,8553625,20,4,6,8,28,30,14,21,15,13,15,15,15,13,10,12,8,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343775,8553625,17,14,14,13,9,9,9,12,9,22,18,16,31,16,10,6,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343825,8553625,16,11,13,16,5,9,2,2,8,4,4,5,4,7,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344225,8553625,16,8,2,6,7,4,11,8,5,7,5,12,7,15,9,10,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344275,8553625,11,6,19,31,20,13,13,12,15,18,13,20,10,11,10,5,7,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344325,8553625,38,12,10,16,23,18,17,13,10,7,7,7,5,4,8,10,5,7,9,6,5,6,4,1,0,0,0,0,0,0,0,0,0,0,0
344375,8553625,20,5,14,21,20,15,16,28,21,24,19,17,14,7,9,9,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344425,8553625,43,16,17,23,17,12,18,19,10,8,13,12,13,12,9,10,6,6,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
344475,8553625,49,21,19,10,14,6,18,16,18,16,10,15,12,7,8,9,9,6,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344525,8553625,16,7,13,12,13,11,13,14,11,9,6,8,13,12,13,17,12,12,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343575,8553675,41,12,9,9,13,13,11,15,21,17,14,12,9,24,13,6,4,6,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
343625,8553675,46,15,13,18,13,8,23,27,21,15,14,11,16,8,8,10,7,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343675,8553675,43,10,4,8,18,22,19,20,13,22,19,12,17,17,19,14,10,8,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343725,8553675,19,16,11,13,11,13,14,17,11,11,9,12,11,14,3,14,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343775,8553675,24,9,15,8,13,15,11,20,17,23,16,18,21,8,8,7,9,6,7,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0
343825,8553675,56,5,5,8,13,16,10,8,15,22,7,13,18,19,22,17,20,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343875,8553675,20,8,8,9,12,17,16,16,16,6,12,17,25,16,13,22,10,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343925,8553675,38,13,11,17,9,17,22,14,9,10,15,17,24,8,12,9,8,9,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343975,8553675,21,22,18,15,11,23,19,13,12,17,12,18,20,4,6,4,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344025,8553675,28,8,8,9,8,16,17,18,11,15,28,19,19,19,11,6,2,2,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344075,8553675,42,9,12,14,20,23,33,24,18,8,14,21,7,17,14,7,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344125,8553675,9,11,10,9,19,17,15,25,20,25,12,22,21,24,14,7,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344175,8553675,7,2,7,9,12,19,22,33,31,21,22,16,20,14,7,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344225,8553675,65,3,5,8,11,11,11,16,20,30,14,22,20,19,16,12,5,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344275,8553675,65,14,6,8,5,8,4,3,10,6,11,11,14,18,19,20,31,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344325,8553675,16,7,7,14,10,17,20,21,10,15,20,14,16,14,17,14,8,5,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344375,8553675,71,23,23,24,15,16,8,19,16,15,12,12,22,13,9,12,9,9,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
