"X","Y","fire.treat","Parcela","dist.borda"
349825,8553275,"3x","B",900
349875,8553275,"3x","B",900
349925,8553275,"3x","B",900
349975,8553275,"3x","B",900
349725,8553325,"3x","B",850
349775,8553325,"3x","B",850
349825,8553325,"3x","B",850
349875,8553325,"3x","B",850
349925,8553325,"3x","B",850
349975,8553325,"3x","B",850
349725,8553375,"3x","B",800
349775,8553375,"3x","B",800
349825,8553375,"3x","B",800
349875,8553375,"3x","B",800
349925,8553375,"3x","B",800
349975,8553375,"3x","B",800
349725,8553425,"3x","B",750
349775,8553425,"3x","B",750
349825,8553425,"3x","B",750
349875,8553425,"3x","B",750
349925,8553425,"3x","B",750
349975,8553425,"3x","B",750
349725,8553475,"3x","B",700
349775,8553475,"3x","B",700
349825,8553475,"3x","B",700
349875,8553475,"3x","B",700
349925,8553475,"3x","B",700
349975,8553475,"3x","B",700
349725,8553525,"3x","B",650
349775,8553525,"3x","B",650
349825,8553525,"3x","B",650
349875,8553525,"3x","B",650
349925,8553525,"3x","B",650
349975,8553525,"3x","B",650
349725,8553575,"3x","B",600
349775,8553575,"3x","B",600
349825,8553575,"3x","B",600
349875,8553575,"3x","B",600
349925,8553575,"3x","B",600
349975,8553575,"3x","B",600
349725,8553625,"3x","B",550
349775,8553625,"3x","B",550
349825,8553625,"3x","B",550
349875,8553625,"3x","B",550
349925,8553625,"3x","B",550
349975,8553625,"3x","B",550
349725,8553675,"3x","B",500
349775,8553675,"3x","B",500
349825,8553675,"3x","B",500
349875,8553675,"3x","B",500
349925,8553675,"3x","B",500
349975,8553675,"3x","B",500
349725,8553725,"3x","B",450
349775,8553725,"3x","B",450
349825,8553725,"3x","B",450
349875,8553725,"3x","B",450
349925,8553725,"3x","B",450
349975,8553725,"3x","B",450
349725,8553775,"3x","B",400
349775,8553775,"3x","B",400
349825,8553775,"3x","B",400
349875,8553775,"3x","B",400
349925,8553775,"3x","B",400
349975,8553775,"3x","B",400
349725,8553825,"3x","B",350
349775,8553825,"3x","B",350
349825,8553825,"3x","B",350
349875,8553825,"3x","B",350
349925,8553825,"3x","B",350
349975,8553825,"3x","B",350
349725,8553875,"3x","B",300
349775,8553875,"3x","B",300
349825,8553875,"3x","B",300
349875,8553875,"3x","B",300
349925,8553875,"3x","B",300
349975,8553875,"3x","B",300
